兄弟 | 还不认亲 | Racism | hate [END]
河南人 | 可以删除 | Region | hate [END]
腐癌 | 你们异性恋女生😓 | Sexism | hate [END]
每个人 | 都有自己的思想的自由 | non-hate | non-hate [END]
北上广深 | 他们觉得所有外地的都觉得没他们好 | Region | hate [END]
黑男 | 跟黑男换国籍 | Racism | hate [END]
孔子 | 耳听为虚，眼见为实 | non-hate | non-hate [END]
沈阳大连 | 城市发展已经开始落后了 | non-hate | non-hate [END]
畒 | 被男人压在夸下摩擦了几千年 | Sexism | hate [END]
上海的外来人口 | 地域歧视最严重 | Region | hate [END]
黑人 | 不能要 | Racism | hate [END]
徐州 | 男的又输得一塌糊涂 | non-hate | non-hate [END]
女拳 | 泛滥 | Sexism | hate [END]
黑蛆 | 直接清空弹夹完事 | Racism | hate [END]
上海人 | 是苏南人的种而不是苏北人的 | Region | hate [END]
作者 | 传播正能量 | non-hate | non-hate [END]
女的 | 会骗婚的 | Sexism | hate [END]
地域黑 | 西方资本控制的国内某些媒体，刻意营造出来的从内部分裂、瓦解民族认同感的舆论战争 | Region | hate [END]
我 | doi | non-hate | non-hate [END]
黑黄混血 | 恶心 | Racism | hate [END]
上海人，或者说咱们长三角人 | 被外来务工人员黑的严重 | Region | hate [END]
金庸大师 | 诚不我欺 | non-hate | non-hate [END]
教会 | 藏污纳垢恶心死你 | others | hate [END]
东北人 | 对家乡文化一般都不太自信 | non-hate | non-hate [END]
中非友谊 | 真的很“好” | non-hate | non-hate [END]
蛮 | 少数民族 | non-hate | non-hate [END]
小鸡 | 宁愿小鸡守活寡🤣 也不想小鸡沾粑粑😅 | Sexism | hate [END]
小管家 | 没有匿名的 | non-hate | non-hate [END]
军阀 | 割据占领华夏 | non-hate | non-hate [END]
中国男人 | 应该灭绝 | Sexism | hate [END]
抖音 | 默默的重灾区 | others | hate [END]
小鲜肉和网红 | 厌恶反感 | LGBTQ | hate [END]
洛阳口音和商丘口音还有信阳口音 | 你能分清嘛 | non-hate | non-hate [END]
吧里的年轻人们 | 可以考虑进中小企业的电子厂 | non-hate | non-hate [END]
智商低的同性恋 | 只有智商低的同性恋才会来这个吧挑战 | LGBTQ | hate [END]
你这种把身边当世界的人 | 没什么好说的 | non-hate | non-hate [END]
天龙人 | 可不这么认为 | Racism | hate [END]
None | 去推特看看就知道了，♠️ | non-hate | non-hate [END]
这种人 | 如何评价 | non-hate | non-hate [END]
你的白叠 | 就应该理所当然的在那 | Racism | hate [END]
几个男的 | 天天颜文字 | non-hate | non-hate [END]
基佬 | 真艾只属于基佬 | LGBTQ | hate [END]
克罗地亚的 | 容貌秒杀95%以上国女 | Sexism | hate [END]
倒贴找黑老丑的我 | 隔应 | Sexism | hate [END]
人类的脑子 | 越来越大 | non-hate | non-hate [END]
两个女生 | 随所有条件都一样 | non-hate | non-hate [END]
None | 狗 | LGBTQ | hate [END]
None | 反串黑 | Racism | hate [END]
逻辑高手 | 随便打俩字就是悖论 | non-hate | non-hate [END]
女的 | 那没事了 | non-hate | non-hate [END]
你 | 应该去放生吧 | non-hate | non-hate [END]
上海人 | 已经躺平了 | non-hate | non-hate [END]
东北 | 在一些缺乏地理概念的人眼里，长江以北都是东北 | Region | hate [END]
男的 | 多事 | Sexism | hate [END]
那个男的 | 说话语气巨差无比 | non-hate | non-hate [END]
分享这玩意的 | 不是纯初生 | Sexism | hate [END]
我 | 要当吧主 | non-hate | non-hate [END]
北方 | 女人不能上桌吃饭 | Region | hate [END]
这两地方 | 有优越感 | non-hate | non-hate [END]
女权 | 我成替身了？ | non-hate | non-hate [END]
白男娶黄女 | 炼铜 | Sexism | hate [END]
女人 | 越老越贬值 | Sexism | hate [END]
腐女 | 很反感腐女的 | Sexism | hate [END]
他 | 上海的 | non-hate | non-hate [END]
女方 | 婚前支付五年个人收入做彩礼 | Sexism | hate [END]
异性恋 | 什么时候异性恋还需要别人认可了？ | non-hate | non-hate [END]
努力大姐 | 还没死啊 | Sexism | hate [END]
同性恋 | 有什么资格给儿童定义？ | LGBTQ | hate [END]
这昵称 | 有点东西 | non-hate | non-hate [END]
你 | 去辱骂和攻击他人就是没素质 | non-hate | non-hate [END]
上海(包括苏南浙北吴语区) | 喜欢排斥江淮地区，苏北和安徽中北部 | Region | hate [END]
所有的女人 | 生孩子多么多么痛、多么多么难，多么多么危险 | Sexism | hate [END]
交往过黑人的女孩 | 不愿意娶 | Sexism | hate [END]
老子 | 种族主义者 | Racism | hate [END]
国女 | 急死的国女出来了 | Sexism | hate [END]
你 | 女人 | Sexism | hate [END]
中国eg | 这么多🥺🥺 | Sexism | hate [END]
大国气度 | 接盘😄 | Sexism | hate [END]
女人 | 纯纯就是一个懦弱又自我感动的大** | Sexism | hate [END]
她们 | 等到中国遍地黑娃娃，看着就恶心，😅 | Sexism | hate [END]
蛆 | 能在化粪池里面找一条干净的 | Racism | hate [END]
广东老太太 | 谁都不虚 | Region | hate [END]
中国传统文化 | 婚嫁随男方 | non-hate | non-hate [END]
安徽人 | 身上有气节! | non-hate | non-hate [END]
这个 | 恋童癖 | others | hate [END]
辽足辽篮球迷 | 这几年干的没素质事好像更多吧 | Region | hate [END]
人造子宫 | 不是为了贬低女性 | non-hate | non-hate [END]
男生 | 很坏的 | Sexism | hate [END]
二次元和微博 | 沙軟 | others | hate [END]
潮汕火锅 | 什么味道啊 | non-hate | non-hate [END]
骗婚的人 | 人品有问题 | non-hate | non-hate [END]
广西 | 不也被黑得很惨吗 | non-hate | non-hate [END]
跪虫族 | 看看它们虫爹在面对人类精英足球队根本就没有赢可能性 | Racism | hate [END]
大山里跑出来的猴子 | 笑死了 | Region | hate [END]
人家 | 生理上 | non-hate | non-hate [END]
东北 | 付出的最多 | non-hate | non-hate [END]
厕所里畒勾 | 还没路边蝲蝲蛄叫的好听 | Sexism | hate [END]
安徽 | 口碑比以前好多了 | non-hate | non-hate [END]
大家 | 去点个赞吧！ | others | hate [END]
他们 | 被国女逼的 | Sexism | hate [END]
基佬 | 同类相食的怪物 | LGBTQ | hate [END]
混血儿 | 丑八怪 | Racism | hate [END]
上海人 | 装什么小白兔 | Region | hate [END]
上海 | 排外歧视很严重 | Region | hate [END]
这相机 | 不错 | non-hate | non-hate [END]
很多女的 | 敏感、多疑、热衷于勾心斗角 | Sexism | hate [END]
贴吧 | 要安全地发展 | non-hate | non-hate [END]
答主 | 日裔遗孤 | Region | hate [END]
那女的 | 作态还非常低贱 | Sexism | hate [END]
她们 | 结婚以后一定要和老公孩子待在非洲不要回来 | Sexism | hate [END]
国人 | 挺能忍的 | non-hate | non-hate [END]
河南人 | 黑暗 | non-hate | non-hate [END]
我的拳 | 打到你了吧 | non-hate | non-hate [END]
黑人 | 不会抱黑人 | Racism | hate [END]
它们 | 多多发电 | Racism | hate [END]
过男 | 下头男 | Sexism | hate [END]
图里 | 有智慧的人全是男性？ | non-hate | non-hate [END]
商丘，驻马店，周口，豫南三市 | 被黑的最多 | Region | hate [END]
杨笠 | 把大部分小仙女心声说了出来 | Sexism | hate [END]
人形畜狌 | 只有本能 | Racism | hate [END]
我 | 河南的 | non-hate | non-hate [END]
奸**人的迷香 | 非洲黑人或者美洲黑人使用来奸淫中国女人的那种身上的香水味道 | Sexism | hate [END]
黑人 | 五千年祖先都是灵长类动物 | Racism | hate [END]
人家 | 自己说话 | non-hate | non-hate [END]
黑龙江 | 又是黑龙江出的事啊！ | non-hate | non-hate [END]
黑人 | 擅长音乐 | non-hate | non-hate [END]
女拳 | 一动手你们女拳就出来反抗 | Sexism | hate [END]
异性恋 | 不好 | non-hate | non-hate [END]
你 | 中国的不幸 | non-hate | non-hate [END]
你 | 獥 | non-hate | non-hate [END]
这种女人 | 会带坏公司的风气 | Sexism | hate [END]
None | 最公开公正 | non-hate | non-hate [END]
小丑 | 能出来说一说你的成分吗 | non-hate | non-hate [END]
黑人 | 物种歧视 | Racism | hate [END]
这个吧里的臭亩钩 | 能凑出个完整的月莫吗？ | Sexism | hate [END]
黑人白人 | 都不待见 | Racism | hate [END]
河南的回族 | 互联网最底层🤣 | Region | hate [END]
女的 | 基本上没国家概念 | Sexism | hate [END]
北京人 | 对上海人很复杂的情绪 | Region | hate [END]
这位警官 | 尽职尽责的人 | non-hate | non-hate [END]
铌铬 | 凤毛麟角 | Sexism | hate [END]
有些人 | 玩个游戏都要捏个光头黑人 | Racism | hate [END]
她 | 不介绍她的社会关系 | non-hate | non-hate [END]
你 | 看看一个多星期了有人理你吗 | non-hate | non-hate [END]
人类历史的先祖们 | 早就有预料今日这些人类的叛徒 | non-hate | non-hate [END]
她 | 一边骂街一边yy | non-hate | non-hate [END]
男人 | 不婚 | non-hate | non-hate [END]
这狗 | 知道那些小狗是它的孩子吗？ | non-hate | non-hate [END]
山东人陕西人 | 真的不爱出门打工 | non-hate | non-hate [END]
亲子鉴定 | 希望跟验孕棒一样普及 | non-hate | non-hate [END]
台湾 | 真是该打！ | Region | hate [END]
黑人 | 灵长类 | Racism | hate [END]
龟男 | 龟男道德观 | Sexism | hate [END]
湖南 | 由于答主口音有问题逃过一劫 | non-hate | non-hate [END]
ZF | 因为政治正确取消外籍留学生艾滋病强制筛查之后,国内的艾滋病感染率大幅度增加 | Racism | hate [END]
你野die们 | 在呼唤你 | non-hate | non-hate [END]
科学家 | 相信 | non-hate | non-hate [END]
女⭕️师 | 不少 | Sexism | hate [END]
一部分南方人 | 分不清北方口音 | non-hate | non-hate [END]
我方 | 保护我方输出 | non-hate | non-hate [END]
我 | 每天都在关注都看的！ | non-hate | non-hate [END]
兄弟 | 辛苦了 | non-hate | non-hate [END]
同性恋 | 很巧妙的在任何讨论和争执中把自己伪装成一个受害者的形象 | LGBTQ | hate [END]
她们 | 支持谁呢？ | Sexism | hate [END]
女人 | 大脑感性部位发达 | Sexism | hate [END]
我 | 超，男同！ | non-hate | non-hate [END]
龟男 | 不努力 | Sexism | hate [END]
黑人 | 又笨 | Racism | hate [END]
既得利益者 | 笑死我了 | non-hate | non-hate [END]
中国女拳友 | 脑子不好使那种 | Sexism | hate [END]
河南朋友 | 挺好的 | non-hate | non-hate [END]
他 | 阴阳怪气说我们 | non-hate | non-hate [END]
有些人 | 来上海之后骂上海人配不上这个全中国的上海，打压上海文化（比如方言） | Region | hate [END]
自然选择 | 点赞了 | non-hate | non-hate [END]
母钩 | 举报加爆杀 | Sexism | hate [END]
南京 | 灰挺多的 | Region | hate [END]
小黑奴 | 一万多一个 | Racism | hate [END]
小仙女 | 当代小仙女 | Sexism | hate [END]
这种手术 | 正规大医院一般不做 | non-hate | non-hate [END]
我 | 不支持男女平等 | Sexism | hate [END]
你 | 去帮你的嘿嘿打工吧 | Sexism | hate [END]
央视 | 会说不要歧视感冒患者么 | non-hate | non-hate [END]
自己 | 不控制自己 | non-hate | non-hate [END]
同性恋 | 可以和异性结婚并不能说明他们喜欢异性 | non-hate | non-hate [END]
你 | 滚去非洲 | Racism | hate [END]
大家 | 怎么看 | non-hate | non-hate [END]
黑人 | 智商平均水平偏低 | Racism | hate [END]
现代女生 | 接受教育进入职场工作了 | non-hate | non-hate [END]
基佬 | 怎么骂基佬我也不生气 | LGBTQ | hate [END]
河南人 | 被黑 | Region | hate [END]
包邮区农村的小伙 | 歧视一切外地人 | Region | hate [END]
山东 | 推黑 | Region | hate [END]
娶 | 不婚保平安 | Sexism | hate [END]
上海好南京 | 好多人都歧视安徽人 | Region | hate [END]
女性 | 三无四有 | Sexism | hate [END]
她 | 骂你 | Sexism | hate [END]
姆蛆 | 引流 | Sexism | hate [END]
传统地域歧视 | 地区 | non-hate | non-hate [END]
上海 | 歧视外地人是普遍存在 | Region | hate [END]
默妖 | 能否尽灭默妖，关乎人类之存亡，文明之延续 | Racism | hate [END]
安徽的 | 背地里要被冷嘲热讽死 | Region | hate [END]
你 | 三观真的有毒 | non-hate | non-hate [END]
北方 | 人上人 | Region | hate [END]
非洲 | 引进的“高材生” | Region | hate [END]
尊重女性 | 资本主义的骗局 | Sexism | hate [END]
北欧 | 在性少数上做的相对比米国较好罢了 | non-hate | non-hate [END]
我们东北人 | 在前面顶着 | non-hate | non-hate [END]
黑人 | 骂中国人、说中国属于黑人就是言论自由 | Racism | hate [END]
None | 要的就是根本就回不来 | Racism | hate [END]
中国男人 | 媚外世界第一 | Sexism | hate [END]
杂交的 | 不如纯种的好 | Racism | hate [END]
嘿蛆族 | J生虫 | Racism | hate [END]
浙江 | 为什么黑浙江啊 | Region | hate [END]
你 | 去上学吧😅 | non-hate | non-hate [END]
荷兰人 | 总是说是别人祖宗 | Region | hate [END]
学校 | 承担相应的后果 | non-hate | non-hate [END]
女人 | 如果嫁到外国人小孩不能在中国读公立学校只能在外国人的私人学校读书 | Sexism | hate [END]
F省 | 不是F省 | non-hate | non-hate [END]
黑 | 在抖音拍南京大屠杀纪念日 | Racism | hate [END]
妹子 | 有钱哪里的妹子都喜欢你 | Sexism | hate [END]
塔利班 | 有飞机大炮 | non-hate | non-hate [END]
劣信女 | 别理它们 | Sexism | hate [END]
黑人 | 歧视 | Racism | hate [END]
和老外有过交往的 | 我从心里嫌弃 | Racism | hate [END]
None | 嫉妒 | non-hate | non-hate [END]
东北 | 知乎地域黑大v最多的地方 | Region | hate [END]
None | 可以试试送去种植园工作 | Racism | hate [END]
河南 | 都是啊 | non-hate | non-hate [END]
外星优质男人 | 人家有太空战舰呢 | Racism | hate [END]
一个群体 | 主观憎恨 | others | hate [END]
孙 | 那里老哥骂得比较好听? | Sexism | hate [END]
你 | 早点蛆丝 | non-hate | non-hate [END]
河南 | 中原文明/华夏文明的起源地 | non-hate | non-hate [END]
一些人 | 觉得自己是同性恋就可以高人一等了 | LGBTQ | hate [END]
上海 | 排外排的是中国人，外国人可一点也不排，全供起来舔 | Region | hate [END]
黄黑人种 | 我可不想看见后一代是黄黑人种 | Racism | hate [END]
基佬 | 杀光一切基佬 | LGBTQ | hate [END]
湖女省的司法机关 | 真不好说钕拳之都 | Sexism | hate [END]
黑人 | 绝不接受 | Racism | hate [END]
你 | 高贵的殖蝻 | Sexism | hate [END]
黑人 | 排斥 | Racism | hate [END]
知乎 | 男权主义太重 | Sexism | hate [END]
同性恋里的败类 | 人们对同性恋不好的印象几乎都是这些人搞得 | LGBTQ | hate [END]
黑人和对它们有好感的easygirl | 歧视 | Racism | hate [END]
中国人 | 在非洲也生了很多蛋留下了 | Racism | hate [END]
陕西的专业黑子 | 有病吧 | Region | hate [END]
非处女 | 坦白性史 | Sexism | hate [END]
你 | 道德绑架也太厉害了 | non-hate | non-hate [END]
东北人 | 感觉也很不符合外边对东北人的认知 | non-hate | non-hate [END]
小氙钕 | 支持 | Sexism | hate [END]
同性恋 | 拉黑不送 | LGBTQ | hate [END]
你 | 女的 | Sexism | hate [END]
广东 | 你把广东放在什么地方了 | non-hate | non-hate [END]
山东 | 完美契合 | non-hate | non-hate [END]
喷神的回答 | 哪里批判了？ | non-hate | non-hate [END]
人家 | 独立自主和你有什么关系 | non-hate | non-hate [END]
她们 | 艾滋病率远超失足妇女 | Sexism | hate [END]
同性恋 | 先天的？？ | non-hate | non-hate [END]
富人 | 那么舔的么 | non-hate | non-hate [END]
车、房、彩礼 | 你们倒是一视同仁啊😆 | non-hate | non-hate [END]
魔怔人 | 不准魔怔人出现在我帖子里 | others | hate [END]
学伴 | 慰安妇 | Sexism | hate [END]
他 | 胡说八道，挑拨离间 | non-hate | non-hate [END]
女人 | 过的就是比我们男人要轻松 | Sexism | hate [END]
男人 | 不坏 | non-hate | non-hate [END]
这些人 | 关键是这些人的能力如何 | non-hate | non-hate [END]
智力 | 与反同性恋的偏见之间存在很高的相关性 | LGBTQ | hate [END]
None | 反黑 | Racism | hate [END]
txl | 必死 | LGBTQ | hate [END]
你 | 可以取消“粉丝”啊 | non-hate | non-hate [END]
我 | 种族内个歧视了🐶帽子我自己带好 | Racism | hate [END]
黑蛆 | 属于机会生存 | Racism | hate [END]
娶外国女人的男性朋友 | 一门心思娶外国女人 | Sexism | hate [END]
你 | 是哪里人？ | non-hate | non-hate [END]
男的 | 比女的多几千万 | non-hate | non-hate [END]
在东北上学的人 | 一部分人，直球直起来很离谱，很自私 | Region | hate [END]
证据链 | 不完整 | non-hate | non-hate [END]
很多男的 | 无感 | non-hate | non-hate [END]
成都吴蒙 | 我支持喷神😆 | Region | hate [END]
上海 | 声名一直就不好 | Region | hate [END]
黑人 | 至少比你强多了 | Racism | hate [END]
奥巴马 | 美国历史最差总统 | non-hate | non-hate [END]
自己 | 骂自己的老爸 | non-hate | non-hate [END]
厦门 | 地域黑最严重的地方之一 | Region | hate [END]
出差一夜情 | 正常男人也接受不了啊😅😅😅 | others | hate [END]
姆人 | 爽 | Sexism | hate [END]
我们种族歧视者 | 被白左歧视了 | Racism | hate [END]
黑人 | 体味有点作呕 | Racism | hate [END]
同性恋 | 先天得来的东西 | non-hate | non-hate [END]
您 | 高傲的挑衅全体人民的行为 | non-hate | non-hate [END]
吧友们 | 反对自己后代的基因被染黑 | Racism | hate [END]
非洲源头奥密克戎变异株Ba.5 | 已传至陕西省西安市 | non-hate | non-hate [END]
我们云南人 | 可比黑种好看多了🤔 | Region | hate [END]
女权 | 女人没有了束缚后释放本性的模样 | Sexism | hate [END]
上男人车 | 提供吹吹服务 | Sexism | hate [END]
黑人 | 有中秋节吗？ | non-hate | non-hate [END]
夹你 | 钓鱼狂人 | Racism | hate [END]
你 | 管这叫日常 | non-hate | non-hate [END]
女生 | 会介意的吧 | non-hate | non-hate [END]
上海 | 要被说排外的城市 | Region | hate [END]
卫辉官媒 | 黑山东 | Region | hate [END]
浙江人 | 在全世界被歧视 | Region | hate [END]
生黑孩的女人 | ！！！ | Sexism | hate [END]
你 | 假黑 | Racism | hate [END]
一枪不放 | 丢东北 | Region | hate [END]
媚默女 | 建立个媚默女的档案库 | Sexism | hate [END]
好看 | 一般女的都嫉妒 | Sexism | hate [END]
江西人 | 自吹自擂 | Region | hate [END]
你 | 太小看美颜了 | non-hate | non-hate [END]
这个酒厂 | 没几年了 | non-hate | non-hate [END]
黑人 | 没有大量贩卖到法国葡萄牙 | non-hate | non-hate [END]
黑人 | 不是中国的一部分 | non-hate | non-hate [END]
劣信幕刃 | 真下头 | Sexism | hate [END]
亚裔 | 不会反抗，也不团结 | Racism | hate [END]
上海土著 | 反对歧视外地人 | non-hate | non-hate [END]
河南 | 有人黑我们河南 | Region | hate [END]
东北人 | 一开口就能比较明显的听出来 | non-hate | non-hate [END]
外国黑人 | 通过和中国女的结婚繁殖混血黑二代殖民中国 | Racism | hate [END]
河南 | 官方认证 | non-hate | non-hate [END]
黑人 | 除了特别优秀的黑人，如奥巴马之流，其余的都不行啊 | Racism | hate [END]
艾滋病 | 传播异性恋可是占主流 | non-hate | non-hate [END]
上海 | 笑而不语 | non-hate | non-hate [END]
同性恋 | 拉低我对同性恋的好感 | LGBTQ | hate [END]
黑人 | 犯罪率极高 | Racism | hate [END]
河童 | 别把河童的图片放上来 | Racism | hate [END]
你 | 去撒哈拉以南待两年就不会说这种话了 | non-hate | non-hate [END]
我们这里 | 不管男的女的，如果不结婚就不能上族谱 | non-hate | non-hate [END]
田园女权 | 粪坑里找💩臭死了 | Sexism | hate [END]
男性 | 无法接受 | non-hate | non-hate [END]
田园女拳 | 滥交的自由 | Sexism | hate [END]
大部分女性 | 要求不婚检 | Sexism | hate [END]
你这样人的人 | 真的很讨厌 | others | hate [END]
抖音 | 真的可以 | non-hate | non-hate [END]
缅甸老挝留学生 | 穿长裙 | non-hate | non-hate [END]
娶媳妇没用的关键 | 大小 | Sexism | hate [END]
同性恋 | 我可不想以后我孩子看那些 | LGBTQ | hate [END]
这主播 | 也是个fw | non-hate | non-hate [END]
None | 想找个 | non-hate | non-hate [END]
黑老美 | 骂老美能把老美搞成非洲 | Racism | hate [END]
杭州人 | 那个跳 | Region | hate [END]
老一辈 | 排外表现明显 | Racism | hate [END]
你 | 上蹿下跳 | non-hate | non-hate [END]
美国黑人 | 不缺教育资源 | non-hate | non-hate [END]
老一辈的人 | 很多排外的呀 | Racism | hate [END]
雄性基因 | 排外 | Racism | hate [END]
河南籍新疆人 | 和我一模一样 | non-hate | non-hate [END]
三民主义 | 民族主义 | non-hate | non-hate [END]
你们 | 遭人唾弃 | others | hate [END]
老实人 | 最大的恶意 | others | hate [END]
黑龙江人 | 唱衰东北的急先锋 | Region | hate [END]
黑人 | 灭绝 | Racism | hate [END]
对方 | 来对线争论的 | non-hate | non-hate [END]
这地方 | 在全国是出了名的 | non-hate | non-hate [END]
撑同弱智 | 不会选撑同弱智 | LGBTQ | hate [END]
女人 | 都是*** | Sexism | hate [END]
国女 | 愿意倒贴外国人🐶 | Sexism | hate [END]
广西人 | 你们都别跟我们抢了好不好？ | Region | hate [END]
极端 | 一身艾滋+X病 | others | hate [END]
每个男人 | 在高龄光棍前绝不会以为内卷的会是自己 | Sexism | hate [END]
阿娜 | 想给阿娜上坟捏 | Sexism | hate [END]
黑人 | 不要害人 | Racism | hate [END]
姆蛆 | 找到 | Sexism | hate [END]
形式 | 开始严峻了 | non-hate | non-hate [END]
吸血虫 | 花钱去讨好 | others | hate [END]
同性恋 | 恶心 | LGBTQ | hate [END]
你 | 尊重提问者说的话吧 | non-hate | non-hate [END]
女人 | 只需要征服男人就可以享受一切成果 | Sexism | hate [END]
哥布林和各种超级病毒 | 拒绝 | Racism | hate [END]
男同 | 骗婚 | LGBTQ | hate [END]
广西人 | 飘过 | non-hate | non-hate [END]
人家 | 不会跪着安排豪华宿舍、美女学伴、高额奖金😅 | Sexism | hate [END]
女司机 | 群嘲 | Sexism | hate [END]
非洲 | 贫乏 | non-hate | non-hate [END]
基佬 | 被碰一下直接发廊 | LGBTQ | hate [END]
地域黑 | 怎么也避免不了 | Region | hate [END]
河南小姐姐 | 人可好了~ | non-hate | non-hate [END]
蛆 | 畸形 | Racism | hate [END]
他 | 怎么知道他不是心理上的女性生理上的男性？ | non-hate | non-hate [END]
国男 | 你还会被甩😄 | Sexism | hate [END]
搞地域歧视的 | 非蠢即坏 | Region | hate [END]
我 | 河北滴 | non-hate | non-hate [END]
东北人 | 所作所为 | Region | hate [END]
浙江 | 心寒被骂 | Region | hate [END]
基佬 | 被基佬删了 | LGBTQ | hate [END]
猩猩 | 这些都是猩猩 | Racism | hate [END]
女人 | 月收过万月支出500的穷人先路过一下 | Sexism | hate [END]
黑人 | 对黑人无感 | Racism | hate [END]
企业和公司那些用人单位 | 更加不敢招女的 | Sexism | hate [END]
男人 | 应该加强对男人的生命安全保护才对 | non-hate | non-hate [END]
美国内战 | 阴云 | non-hate | non-hate [END]
这个基佬 | 人面兽心 | LGBTQ | hate [END]
没有哪个省的人 | 是应该被黑的 | Region | hate [END]
single | 译意有很多 | non-hate | non-hate [END]
东北 | 以前原本就喜欢地域黑啊 | Region | hate [END]
吧友 | 能挖出更深层次的答案 | non-hate | non-hate [END]
我们 | 流氓 | LGBTQ | hate [END]
那个屌逼 | ** | non-hate | non-hate [END]
陕西人 | 看不起附近几个省份 | Region | hate [END]
女权吧 | 活了不到五分钟就被删帖了 | non-hate | non-hate [END]
你 | 快去自**吧 | non-hate | non-hate [END]
炼铜txl | 能不能④ | LGBTQ | hate [END]
幕刃 | 远离幕刃 | Sexism | hate [END]
王心凌 | 多好看 | non-hate | non-hate [END]
女性 | 接受高等教育比例超过男性 | non-hate | non-hate [END]
东北人 | 喷过扬州三屠和南京大屠杀是我们活该😅 | Region | hate [END]
None | 你们随便找一个欣赏一下 | Sexism | hate [END]
他们 | 要求中国变成什么样？ | non-hate | non-hate [END]
某北 | 与天下为敌 | Region | hate [END]
你们 | 地域黑输出主力军 | Region | hate [END]
女权主义者 | 他们连道歉都没有过 | Sexism | hate [END]
同姓恋 | 也还是同性恋 | non-hate | non-hate [END]
男拳语录 | 黑大人发明的 | Sexism | hate [END]
东北和四川 | 抗日时期特么最恨日本 | non-hate | non-hate [END]
他 | 天天钓鱼 | non-hate | non-hate [END]
她们 | 社死了 | Sexism | hate [END]
抖友 | 有的时候还真能处 | non-hate | non-hate [END]
女性 | 在这个世界上除了繁衍能力之外，对文明的推动几乎没有一点贡献 | Sexism | hate [END]
烂货 | 开了私密模式，关了私信功能 | Sexism | hate [END]
你这个喃蛮 | 编的故事挺好的 | Racism | hate [END]
普通大学 | 也这样搞？ | non-hate | non-hate [END]
我 | 去读书的😓 | non-hate | non-hate [END]
上海 | 被地域黑最严重 | Region | hate [END]
上海市区人 | 歧视市区以外的人（包括上海郊区） | Region | hate [END]
农业大省 | 人口较多，经济不太发达 | non-hate | non-hate [END]
幕刃 | 这句话不知道是哪个幕刃说出来的 | Sexism | hate [END]
视频 | 好视频，有教育意义 | non-hate | non-hate [END]
黑龙江 | 男的不帅还太热衷艺考 | Region | hate [END]
骂你的那个东北人 | 你应该谢谢 | non-hate | non-hate [END]
有些垃圾 | 恶心 | non-hate | non-hate [END]
sb | 真正聪明的男人已经留下了种子还不用负责 | Sexism | hate [END]
跟黑人女性结婚的中国男性 | 应该去非洲吗？ | Sexism | hate [END]
女生 | 多多少少有点歧视黑人 | Sexism | hate [END]
中国 | 引进那么多 | non-hate | non-hate [END]
牠们 | 算人吗 | Racism | hate [END]
男友 | 如何查男友手机，如何判断男友是否是处 | Sexism | hate [END]
中央台 | 一直被北京人和东北人霸占着来黑南方人 | Region | hate [END]
埃及文明 | 盖馆定论 | non-hate | non-hate [END]
这种脑残 | 大学孝长的坐上宾 | non-hate | non-hate [END]
南桐 | 吐了 | Region | hate [END]
热情好客 | 不代表可以反客为主 | non-hate | non-hate [END]
反默老哥 | 都转抖音了吗？ | Racism | hate [END]
你爸 | 哪里得罪了你 | non-hate | non-hate [END]
南方 | 也分为东南和西南 | non-hate | non-hate [END]
黑人 | 会要求政治权力 | non-hate | non-hate [END]
小红书 | 绝逼是狗汉奸带的，★★在这就是工具 | Sexism | hate [END]
南方人 | 娘娘腔 | Region | hate [END]
吾 | 物种骑士 | non-hate | non-hate [END]
哥 | 直的狠😆 | non-hate | non-hate [END]
死肥猪 | 去死啊 | non-hate | non-hate [END]
诈骗犯 | 给彩礼也不嫁 | Sexism | hate [END]
它 | 只有大量繁殖才能保证种族延续 | Racism | hate [END]
同性恋 | 过激 | LGBTQ | hate [END]
他 | 老私信追着我骂 | non-hate | non-hate [END]
你 | 离开国家你什么都不是 | non-hate | non-hate [END]
我们 | 文明人 | non-hate | non-hate [END]
牠 | 不一定是亻 | Racism | hate [END]
他们 | 都这么让着他们了还不愿意？ | non-hate | non-hate [END]
女性 | 提高家庭地位的方法：工资上缴 | Sexism | hate [END]
啥省份的 | 都有 | non-hate | non-hate [END]
黑人 | 不老实，脸皮厚 | Racism | hate [END]
安徽池州 | 从五线变四线 | non-hate | non-hate [END]
这 | 网上的拳师 | Sexism | hate [END]
男生 | 对男同首先是有生理反感 | LGBTQ | hate [END]
河南 | 改成我们东北下面的河南 | Region | hate [END]
女同桌 | 暗恋我 | Sexism | hate [END]
南非 | 社会问题极为严重的发展中国家 | non-hate | non-hate [END]
这次的俄乌战争 | 提供的案例真是太多了 | non-hate | non-hate [END]
女性和幕刃 | 两种生物 | Sexism | hate [END]
人家 | 生意，要收钱的 | non-hate | non-hate [END]
极端女权 | 极端男拳 | Sexism | hate [END]
你 | 特意回来给你点了个赞同 | non-hate | non-hate [END]
国男 | 表示很赞 | Sexism | hate [END]
同性恋 | 都这么叼吗？ | LGBTQ | hate [END]
女权 | 变成女拳之前结婚率血崩了 | Sexism | hate [END]
人家 | 能到越南做生意 | non-hate | non-hate [END]
这种龟男 | 真的可怕 | Sexism | hate [END]
不要脸的女人 | 不要脸 | Sexism | hate [END]
隔壁摆摊收豆子里 | 没出现过男性 | Sexism | hate [END]
我们 | 家暴男 | Sexism | hate [END]
